"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"1461 Mellerud","utländsk bakgrund","18-67","2024",1254
"1462 Lilla Edet","utländsk bakgrund","18-67","2014",1693
"1462 Lilla Edet","utländsk bakgrund","18-67","2024",2532
"1463 Mark","utländsk bakgrund","18-67","2014",3258
"1463 Mark","utländsk bakgrund","18-67","2024",4240
"1465 Svenljunga","utländsk bakgrund","18-67","2014",1108
"1465 Svenljunga","utländsk bakgrund","18-67","2024",1409
"1466 Herrljunga","utländsk bakgrund","18-67","2014",863
"1466 Herrljunga","utländsk bakgrund","18-67","2024",1092
"1470 Vara","utländsk bakgrund","18-67","2014",1071
"1470 Vara","utländsk bakgrund","18-67","2024",1648
"1471 Götene","utländsk bakgrund","18-67","2014",991
"1471 Götene","utländsk bakgrund","18-67","2024",1314
"1472 Tibro","utländsk bakgrund","18-67","2014",1118
"1472 Tibro","utländsk bakgrund","18-67","2024",1554
"1473 Töreboda","utländsk bakgrund","18-67","2014",748
"1473 Töreboda","utländsk bakgrund","18-67","2024",1001
"1480 Göteborg","utländsk bakgrund","18-67","2014",127253
"1480 Göteborg","utländsk bakgrund","18-67","2024",178563
"1481 Mölndal","utländsk bakgrund","18-67","2014",8812
"1481 Mölndal","utländsk bakgrund","18-67","2024",13849
"1482 Kungälv","utländsk bakgrund","18-67","2014",3277
"1482 Kungälv","utländsk bakgrund","18-67","2024",5537
"1484 Lysekil","utländsk bakgrund","18-67","2014",1215
"1484 Lysekil","utländsk bakgrund","18-67","2024",1551
"1485 Uddevalla","utländsk bakgrund","18-67","2014",6263
"1485 Uddevalla","utländsk bakgrund","18-67","2024",9136
"1486 Strömstad","utländsk bakgrund","18-67","2014",2431
"1486 Strömstad","utländsk bakgrund","18-67","2024",3116
"1487 Vänersborg","utländsk bakgrund","18-67","2014",3762
"1487 Vänersborg","utländsk bakgrund","18-67","2024",5635
"1488 Trollhättan","utländsk bakgrund","18-67","2014",10024
"1488 Trollhättan","utländsk bakgrund","18-67","2024",12944
"1489 Alingsås","utländsk bakgrund","18-67","2014",3488
"1489 Alingsås","utländsk bakgrund","18-67","2024",4747
"1490 Borås","utländsk bakgrund","18-67","2014",19902
"1490 Borås","utländsk bakgrund","18-67","2024",26947
"1491 Ulricehamn","utländsk bakgrund","18-67","2014",2100
"1491 Ulricehamn","utländsk bakgrund","18-67","2024",2987
"1492 Åmål","utländsk bakgrund","18-67","2014",1117
"1492 Åmål","utländsk bakgrund","18-67","2024",1434
"1493 Mariestad","utländsk bakgrund","18-67","2014",2002
"1493 Mariestad","utländsk bakgrund","18-67","2024",2484
"1494 Lidköping","utländsk bakgrund","18-67","2014",2944
"1494 Lidköping","utländsk bakgrund","18-67","2024",4112
"1495 Skara","utländsk bakgrund","18-67","2014",1954
"1495 Skara","utländsk bakgrund","18-67","2024",2844
"1496 Skövde","utländsk bakgrund","18-67","2014",6570
"1496 Skövde","utländsk bakgrund","18-67","2024",9238
"1497 Hjo","utländsk bakgrund","18-67","2014",489
"1497 Hjo","utländsk bakgrund","18-67","2024",672
"1498 Tidaholm","utländsk bakgrund","18-67","2014",965
"1498 Tidaholm","utländsk bakgrund","18-67","2024",1190
"1499 Falköping","utländsk bakgrund","18-67","2014",3017
"1499 Falköping","utländsk bakgrund","18-67","2024",4389
"1715 Kil","utländsk bakgrund","18-67","2014",638
"1715 Kil","utländsk bakgrund","18-67","2024",772
"1730 Eda","utländsk bakgrund","18-67","2014",1527
"1730 Eda","utländsk bakgrund","18-67","2024",1726
"1737 Torsby","utländsk bakgrund","18-67","2014",1007
"1737 Torsby","utländsk bakgrund","18-67","2024",1228
"1760 Storfors","utländsk bakgrund","18-67","2014",611
