"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"1961 Hallstahammar","svensk bakgrund","18-67","2024",6834
"1962 Norberg","svensk bakgrund","18-67","2014",2862
"1962 Norberg","svensk bakgrund","18-67","2024",2465
"1980 Västerås","svensk bakgrund","18-67","2014",65219
"1980 Västerås","svensk bakgrund","18-67","2024",62134
"1981 Sala","svensk bakgrund","18-67","2014",11525
"1981 Sala","svensk bakgrund","18-67","2024",10263
"1982 Fagersta","svensk bakgrund","18-67","2014",5255
"1982 Fagersta","svensk bakgrund","18-67","2024",4559
"1983 Köping","svensk bakgrund","18-67","2014",11499
"1983 Köping","svensk bakgrund","18-67","2024",10195
"1984 Arboga","svensk bakgrund","18-67","2014",6796
"1984 Arboga","svensk bakgrund","18-67","2024",6293
"2021 Vansbro","svensk bakgrund","18-67","2014",3683
"2021 Vansbro","svensk bakgrund","18-67","2024",3328
"2023 Malung-Sälen","svensk bakgrund","18-67","2014",5509
"2023 Malung-Sälen","svensk bakgrund","18-67","2024",5036
"2026 Gagnef","svensk bakgrund","18-67","2014",5414
"2026 Gagnef","svensk bakgrund","18-67","2024",5083
"2029 Leksand","svensk bakgrund","18-67","2014",8285
"2029 Leksand","svensk bakgrund","18-67","2024",7694
"2031 Rättvik","svensk bakgrund","18-67","2014",5850
"2031 Rättvik","svensk bakgrund","18-67","2024",5364
"2034 Orsa","svensk bakgrund","18-67","2014",3709
"2034 Orsa","svensk bakgrund","18-67","2024",3350
"2039 Älvdalen","svensk bakgrund","18-67","2014",3851
"2039 Älvdalen","svensk bakgrund","18-67","2024",3451
"2061 Smedjebacken","svensk bakgrund","18-67","2014",5584
"2061 Smedjebacken","svensk bakgrund","18-67","2024",5136
"2062 Mora","svensk bakgrund","18-67","2014",11285
"2062 Mora","svensk bakgrund","18-67","2024",10149
"2080 Falun","svensk bakgrund","18-67","2014",31486
"2080 Falun","svensk bakgrund","18-67","2024",29659
"2081 Borlänge","svensk bakgrund","18-67","2014",25234
"2081 Borlänge","svensk bakgrund","18-67","2024",22783
"2082 Säter","svensk bakgrund","18-67","2014",6240
"2082 Säter","svensk bakgrund","18-67","2024",5542
"2083 Hedemora","svensk bakgrund","18-67","2014",7925
"2083 Hedemora","svensk bakgrund","18-67","2024",7011
"2084 Avesta","svensk bakgrund","18-67","2014",11267
"2084 Avesta","svensk bakgrund","18-67","2024",9797
"2085 Ludvika","svensk bakgrund","18-67","2014",12970
"2085 Ludvika","svensk bakgrund","18-67","2024",11206
"2101 Ockelbo","svensk bakgrund","18-67","2014",3196
"2101 Ockelbo","svensk bakgrund","18-67","2024",2628
"2104 Hofors","svensk bakgrund","18-67","2014",4752
"2104 Hofors","svensk bakgrund","18-67","2024",4347
"2121 Ovanåker","svensk bakgrund","18-67","2014",6379
"2121 Ovanåker","svensk bakgrund","18-67","2024",5522
