"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"1261 Kävlinge","svensk bakgrund","18-67","2024",15858
"1262 Lomma","utländsk bakgrund","18-67","2021",2091
"1262 Lomma","utländsk bakgrund","18-67","2024",2255
"1262 Lomma","svensk bakgrund","18-67","2021",11494
"1262 Lomma","svensk bakgrund","18-67","2024",11575
"1263 Svedala","utländsk bakgrund","18-67","2021",2724
"1263 Svedala","utländsk bakgrund","18-67","2024",2974
"1263 Svedala","svensk bakgrund","18-67","2021",10867
"1263 Svedala","svensk bakgrund","18-67","2024",10759
"1264 Skurup","utländsk bakgrund","18-67","2021",2012
"1264 Skurup","utländsk bakgrund","18-67","2024",2260
"1264 Skurup","svensk bakgrund","18-67","2021",7979
"1264 Skurup","svensk bakgrund","18-67","2024",8115
"1265 Sjöbo","utländsk bakgrund","18-67","2021",1817
"1265 Sjöbo","utländsk bakgrund","18-67","2024",1908
"1265 Sjöbo","svensk bakgrund","18-67","2021",9930
"1265 Sjöbo","svensk bakgrund","18-67","2024",9727
"1266 Hörby","utländsk bakgrund","18-67","2021",1708
"1266 Hörby","utländsk bakgrund","18-67","2024",1801
"1266 Hörby","svensk bakgrund","18-67","2021",7759
"1266 Hörby","svensk bakgrund","18-67","2024",7482
"1267 Höör","utländsk bakgrund","18-67","2021",1686
"1267 Höör","utländsk bakgrund","18-67","2024",1780
"1267 Höör","svensk bakgrund","18-67","2021",8396
"1267 Höör","svensk bakgrund","18-67","2024",8568
"1270 Tomelilla","utländsk bakgrund","18-67","2021",1485
"1270 Tomelilla","utländsk bakgrund","18-67","2024",1610
"1270 Tomelilla","svensk bakgrund","18-67","2021",6467
"1270 Tomelilla","svensk bakgrund","18-67","2024",6259
"1272 Bromölla","utländsk bakgrund","18-67","2021",1771
"1272 Bromölla","utländsk bakgrund","18-67","2024",1809
"1272 Bromölla","svensk bakgrund","18-67","2021",5503
"1272 Bromölla","svensk bakgrund","18-67","2024",5490
"1273 Osby","utländsk bakgrund","18-67","2021",1817
"1273 Osby","utländsk bakgrund","18-67","2024",1871
"1273 Osby","svensk bakgrund","18-67","2021",5774
"1273 Osby","svensk bakgrund","18-67","2024",5469
"1275 Perstorp","utländsk bakgrund","18-67","2021",1571
"1275 Perstorp","utländsk bakgrund","18-67","2024",1525
"1275 Perstorp","svensk bakgrund","18-67","2021",2848
"1275 Perstorp","svensk bakgrund","18-67","2024",2701
"1276 Klippan","utländsk bakgrund","18-67","2021",2850
"1276 Klippan","utländsk bakgrund","18-67","2024",2942
"1276 Klippan","svensk bakgrund","18-67","2021",7905
"1276 Klippan","svensk bakgrund","18-67","2024",7829
"1277 Åstorp","utländsk bakgrund","18-67","2021",3858
"1277 Åstorp","utländsk bakgrund","18-67","2024",4297
"1277 Åstorp","svensk bakgrund","18-67","2021",5888
"1277 Åstorp","svensk bakgrund","18-67","2024",5742
"1278 Båstad","utländsk bakgrund","18-67","2021",1734
"1278 Båstad","utländsk bakgrund","18-67","2024",1818
"1278 Båstad","svensk bakgrund","18-67","2021",6932
"1278 Båstad","svensk bakgrund","18-67","2024",6949
"1280 Malmö","utländsk bakgrund","18-67","2021",118961
"1280 Malmö","utländsk bakgrund","18-67","2024",129171
"1280 Malmö","svensk bakgrund","18-67","2021",113419
"1280 Malmö","svensk bakgrund","18-67","2024",114209
"1281 Lund","utländsk bakgrund","18-67","2021",26812
